Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9489
Average RMSE of lnk within 500-2000K is 2.7774
Average NRMSE of lnk within 500-2000K is 14.65%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7438	8.2059	89.84%	35.19%
n:	0.7106	1.0569	105.44%	61.43%
E:	0.9657	3868.3718	112.49%	20.37%
lnk(500K):	0.9621	3.4564	63.11%	20.71%
lnk(1000K):	0.9041	2.5063	17.77%	12.53%
lnk(2000K):	0.6287	2.5222	8.43%	10.07%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.5222	2.4761	2.4549	2.4545	2.4723	2.5063	2.5550	2.6170	2.6909	2.7757	2.8702	2.9735	3.0845	3.2025	3.3267	3.4564
NRMSE:	10.07%	10.35%	10.75%	11.28%	11.93%	12.53%	13.14%	13.85%	14.58%	15.35%	16.16%	17.04%	17.95%	18.87%	19.78%	20.71%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
SC4H9O2=C4H8OOH2-4	16.4820	1.4000	20800.0000	4.2486	15.6859	21.8898	18.9400	0.6752	22600.0332	0.3906	12.2314	18.3858
C4H8OOH2-4=OH+CH3CHO+C2H4	19.5456	1.5000	23500.0000	5.2162	18.0816	25.0341	27.6435	0.4057	22995.6621	7.0208	18.8738	24.9410
NC5H12=NC3H7+C2H5	67.4657	-2.8700	95800.6016	-46.7876	-0.5682	21.5468	75.4337	-3.0372	102818.6406	-46.9219	2.7132	26.4782
NC5H12+O2=C5H11-1+HO2	31.3687	0.0000	52799.9961	-21.7713	4.7987	18.0837	28.9252	0.8654	51463.2422	-17.4911	9.0061	22.5546
NC5H12+O=C5H11-1+OH	32.3584	0.0000	7850.0000	24.4579	28.4081	30.3833	26.4762	0.3328	3394.3691	25.1284	27.0672	28.1520
NC5H12+HO2=C5H11-1+H2O2	3.0350	3.5900	15600.0000	9.6449	19.9836	26.3971	1.6157	3.8053	14691.1777	10.4785	20.5091	26.8432
NC5H12+CH3=C5H11-1+CH4	-0.1009	3.6500	7154.0000	15.3823	21.5123	25.8423	8.6445	2.6765	10251.4639	14.9603	21.9743	26.4089
NC5H12+O2=C5H11-2+HO2	30.9632	0.0000	50160.0000	-19.5198	5.7217	18.3425	29.3642	0.7488	50335.4766	-16.6422	9.2066	22.3905
NC5H12+CH3=C5H11-2+CH4	12.0317	2.1330	7574.0000	17.6647	22.9546	26.3388	7.0530	2.7316	7353.8945	16.6276	22.2216	25.9653
NC5H12+CH3O=C5H11-2+CH3OH	26.1169	0.0000	5000.0000	21.0847	23.6008	24.8588	21.8157	0.4661	5433.0459	19.2445	22.3016	23.9917
NC5H12+OH=C5H11-3+H2O	15.5597	1.8110	-1015.5002	27.8363	28.5806	29.5804	23.9173	0.6132	1823.5703	25.8925	27.2352	28.1190
C5H11-1=C2H4+NC3H7	27.5606	0.6300	29397.7070	1.8888	17.1190	24.9524	26.9370	0.9278	29407.4727	3.1058	18.5473	26.5896
C5H11O2-1=C5H10OOH1-4	15.1287	1.2000	16600.0000	5.8793	15.0646	20.0731	17.9411	1.0297	21653.0488	2.5479	14.1578	20.3197
C5H10OOH2-4+O2=C5H10OOH2-4O2	32.6866	-0.8160	-536.5000	28.1555	27.3199	26.6193	38.5335	-1.1654	975.3501	30.3095	29.9925	29.4301
CH3OCH2OCH3=CH3+CH3OCH2O	40.6164	0.0000	81656.0234	-41.5654	-0.4745	20.0710	49.7678	-1.5180	84732.8672	-44.9444	-3.3574	16.9100
CH3OCH2OCH3+O2=CH3OCH2OCH2+HO2	9.8416	2.8220	42590.8203	-15.4858	7.9028	20.5751	19.8768	1.9699	44550.9336	-12.7189	11.0654	23.6403
CH3OCH2OCH3+CH3O=CH3OCH2OCH2+CH3OH	6.8876	2.9310	3441.0000	21.6394	25.4026	28.3000	3.1156	3.2863	6950.5820	16.5434	22.3190	26.3457
COCJOCO2H=CH3OCHO+CH2O+OH	28.5632	0.3700	18486.1016	12.2575	21.8165	26.7242	29.6069	0.1126	17319.7891	12.8751	21.6688	26.1046
PODE2+CH3O=PODE2B+CH3OH	6.8287	2.8800	1553.5400	23.1632	25.9413	28.3284	2.7968	3.3901	6204.1963	17.6209	23.0928	27.0037
PODE2+HO2=PODE2A+H2O2	-6.9559	4.7800	10420.6494	12.2622	20.8193	26.7545	-0.1263	3.9597	9023.1494	15.4007	22.6860	27.7010
PODE2AO2=PODE2_OOH1_5	15.7685	1.0200	11759.0801	10.2726	16.8971	20.5628	24.6225	0.4563	16467.7480	10.8846	19.4878	23.9475
PODE2BO2=PODE2_OOH3_7	22.2251	0.2800	16587.0000	7.2714	15.8124	20.1799	20.8132	0.8327	18679.9316	7.1877	17.1649	22.4421
PODE2_OOH3_7=CH2O+COCO2HOCJ	42.8551	-1.8300	24976.0996	6.3454	17.6454	22.6612	26.8080	0.6461	23377.9590	7.2946	19.5066	25.8366
PODE2_OOH3_7=C4H8O4_15+OH	48.1097	-2.3700	21247.6094	11.9966	21.0461	24.7494	28.8855	0.0822	17660.5645	11.6219	20.5660	25.0665
C2H5OC2H5+CH3=C2H5OCH2CH2+CH4	10.0774	2.8800	15042.0000	12.8367	22.4023	28.1833	8.8158	2.3603	8940.4238	14.4864	20.6214	24.5070
C2H5OC2H5+HO2=C2H5OCH2CH2+H2O2	-7.2211	4.7000	13032.0000	8.8716	18.6874	25.2242	-0.1523	3.7426	11461.7266	11.5708	19.9327	25.4108
C2H5OC2H5+O=C2H5OCH2CH2+OH	17.8045	2.3000	7107.0000	24.9453	30.1160	33.4984	20.3214	1.2912	4093.8262	24.2256	27.1807	29.1057
C2H5OC2H5+O=C2H5OCHCH3+OH	17.3360	2.0000	403.0000	29.3596	30.9487	32.4364	17.6539	1.7027	3948.0137	24.2622	27.4292	29.6028
C2H5OCHCH3+O2=C4H9ObOO	15.7675	1.6359	-842.2598	26.7817	27.4917	28.4137	36.6347	-1.0170	1822.8257	28.4801	28.6924	28.4462
C4H9ObOO=C4H8ObOOHc	15.3904	1.3800	13882.6016	9.9945	17.9371	22.3866	19.0195	1.2689	21843.7695	4.9207	16.7924	23.1680
C4H8ObOOHc=C4H8OcyObc+OH	27.1433	0.2000	19927.7012	8.3302	18.4968	23.6494	30.4628	-0.0262	19526.0840	10.6481	20.4559	25.3507
C4H8ObOOHdOO=bCOC3H7OdOOH+OH	14.0306	1.2800	14623.7988	7.2674	15.5136	20.0803	21.2018	0.9219	13450.0996	13.3941	20.8014	24.8246
C2H5OCH2OC2H5=CH3+C2H5OCH2OCH2	53.9674	-1.7620	90856.2031	-48.4240	-3.9247	17.7143	50.4074	-1.6542	75213.6797	-35.5710	1.1313	18.9092
C2H5OCH2OC2H5=C2H5O+C2H5OCH2	60.7592	-2.9810	89993.8984	-48.3399	-5.1195	15.4576	52.1096	-1.5181	86569.5391	-44.4519	-1.9407	18.7887
C2H5OCH2OC2H5+H=C2H5OCH2OC2H4s+H2	13.4386	2.3200	3810.7998	24.0212	27.5470	30.1139	9.9823	2.8104	6174.7324	21.2332	26.2885	29.7901
C2H5OCH2OC2H5+CH3=C2H5OCH2OC2H4s+CH4	5.2470	2.7700	7175.5996	15.2397	20.7706	24.4961	3.0927	3.2471	9042.2471	14.1715	20.9724	25.4983
C2H5OCH2OC2H5+C2H5=C2H5OCH2OC2H4p+C2H6	-2.3310	3.6400	11096.2998	9.1224	17.2294	22.5444	8.2615	2.3246	10497.6709	12.1425	19.0364	23.2890
C2H5OCH2OC2H4p=C2H5OCH2O+C2H4	22.9403	0.9890	23036.2988	5.9019	18.1797	24.6614	31.9365	-0.0953	25258.2754	5.9231	18.5674	24.8566
C3H8+OH=NC3H7+H2O	15.7420	2.0000	677.3086	27.4895	29.2166	30.7733	12.4013	2.2883	4694.1514	21.8981	25.8465	28.6137
C3H8+O2=NC3H7+HO2	31.3124	0.0000	50900.0000	-19.9154	5.6985	18.5054	30.6430	0.6068	52997.8906	-18.9248	8.1654	21.9208
NC3H7=C2H4+CH3	25.8109	0.7900	30831.7383	-0.3099	15.7529	24.0580	32.2651	0.2080	32323.3320	1.0265	17.4364	25.7135
NC3H7O2=C3H6OOH1-3	13.9883	1.6000	21000.0000	2.7965	14.4731	20.8660	20.2394	1.2089	24887.1113	2.7047	16.0663	23.1661
C3H6OOH1-2=OH+C3H6O1-2	33.4422	-0.7460	13073.7988	15.6481	21.7100	24.4824	50.4444	-3.1160	25170.6738	5.7472	16.2538	20.4271
C4H10+O=PC4H9+OH	32.3584	0.0000	7850.0000	24.4579	28.4081	30.3833	21.3989	1.1931	5024.3408	23.7567	27.1121	29.2032
C4H10+CH3O=PC4H9+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	23.1486	0.6931	6851.4053	20.5604	24.4886	26.6929
